video,frames,fps,ms_per_frame_total,mean_latency_ms,max_latency_ms,bbox_frames,bbox_ratio,mean_det_conf,mean_sharpness,red_frames,green_frames,garbage_frames,last_smooth_label,out_dir
Dark,1215,30.151377285135247,21.046309711935226,18.258214156922342,433.3286000037333,715,0.588477366255144,0.4466228775500533,1980.7727101625283,64,641,14,unknown,runs_cascade_yolov8s\Dark
Light,1202,29.980046558031262,26.04493685523112,23.720437520754174,56.636699999216944,1004,0.8352745424292846,0.5630843561602173,1965.8285620775603,148,846,11,green,runs_cascade_yolov8s\Light
